Date,Open,High,Low,Close,Volume
19-Aug-04,49.96,51.98,47.93,50.12,-
20-Aug-04,50.69,54.49,50.2,54.1,-
23-Aug-04,55.32,56.68,54.47,54.65,-
24-Aug-04,55.56,55.74,51.73,52.38,-
25-Aug-04,52.43,53.95,51.89,52.95,-
26-Aug-04,52.42,53.92,52.28,53.9,-
27-Aug-04,54,54.26,52.79,53.02,-
30-Aug-04,52.69,52.69,50.95,50.95,-
31-Aug-04,51.11,51.8,51.03,51.13,-
01-Sep-04,51.3,51.43,49.79,50.07,-
02-Sep-04,49.5,51.13,49.42,50.7,-
03-Sep-04,50.42,50.82,49.61,49.95,-
07-Sep-04,50.45,50.95,49.76,50.74,-
08-Sep-04,50.32,51.46,50.2,51.1,-
09-Sep-04,51.2,51.3,50.45,51.1,-
10-Sep-04,50.75,53.23,50.6,52.61,-
13-Sep-04,53.26,54.15,53.18,53.7,-
14-Sep-04,53.67,55.94,53.34,55.69,-
15-Sep-04,55.22,57.06,55.04,55.94,-
16-Sep-04,56.11,57.84,55.77,56.93,-
17-Sep-04,57.15,58.69,56.72,58.69,-
20-Sep-04,58.42,60.74,58.33,59.62,-
21-Sep-04,60.04,60.15,58.7,58.86,-
22-Sep-04,58.67,59.78,58.35,59.13,-
23-Sep-04,59.36,61.25,58.45,60.35,-
24-Sep-04,60.42,61.99,59.82,59.86,-
27-Sep-04,59.72,60.38,58.84,59.07,-
28-Sep-04,60.51,63.64,60.04,63.37,-
29-Sep-04,63.2,67.44,63.05,65.47,-
30-Sep-04,64.88,66.08,64.44,64.74,-
01-Oct-04,65.33,67.05,64.39,66.22,-
04-Oct-04,67.84,68.37,66.95,67.46,-
05-Oct-04,67.26,69.2,66.05,69.12,-
06-Oct-04,68.77,69.16,67.93,68.47,-
07-Oct-04,68.21,69.87,68.21,69.36,-
08-Oct-04,69.3,69.77,68.44,68.8,-
11-Oct-04,68.44,69.36,66.86,67.56,-
12-Oct-04,67.18,68.74,66.63,68.63,-
13-Oct-04,71.59,71.7,69.97,70.38,-
14-Oct-04,70.44,71.12,69.21,70.93,-
15-Oct-04,72.4,72.68,70.9,71.98,-
18-Oct-04,71.53,74.53,70.53,74.51,-
19-Oct-04,75.17,76.12,73.6,73.9,-
20-Oct-04,73.9,74.42,69.73,70.17,-
21-Oct-04,71.99,74.99,70.74,74.62,-
22-Oct-04,85.13,90,81.96,86.13,-
25-Oct-04,88.05,97.12,86.19,93.61,-
26-Oct-04,93.13,96.22,89.91,90.81,-
27-Oct-04,91.05,94.67,90.79,92.89,-
28-Oct-04,93.22,97.1,92.71,96.55,-
29-Oct-04,99.34,99.88,95.2,95.22,-
01-Nov-04,96.65,98.74,95.54,97.92,-
02-Nov-04,99.27,99.53,96.57,97.34,-
03-Nov-04,99,100.7,95.28,95.74,-
04-Nov-04,94.03,95.1,91.58,92.26,-
05-Nov-04,90.91,91.06,84.19,84.59,-
08-Nov-04,85.38,87.63,84.62,86.19,-
09-Nov-04,86.96,87.51,82.55,84.27,-
10-Nov-04,85.25,86.17,83.08,83.85,-
11-Nov-04,84.48,91.78,83.7,91.42,-
12-Nov-04,92.52,94.81,88.61,90.91,-
15-Nov-04,90.13,94.07,89.29,92.34,-
16-Nov-04,88.66,89.64,85.33,86.19,-
17-Nov-04,84.43,88.66,84.42,86.16,-
18-Nov-04,85.11,87.12,82.78,83.69,-
19-Nov-04,84.45,84.91,83.18,84.62,-
22-Nov-04,84.24,84.66,80.57,82.47,-
23-Nov-04,83.87,85.33,83.17,83.68,-
24-Nov-04,87.33,88.52,86.17,87.29,-
26-Nov-04,87.81,89.92,87.57,89.61,-
29-Nov-04,90.04,91.38,88.67,90.43,-
30-Nov-04,90.26,91.41,90.03,90.9,-
01-Dec-04,90.79,91.16,89.69,89.89,-
02-Dec-04,89.86,90.66,89.19,89.61,-
03-Dec-04,89.91,90.44,88.71,90.11,-
06-Dec-04,89.48,90.26,87.92,88.06,-
07-Dec-04,87.91,88.01,85.19,85.63,-
08-Dec-04,85.2,86.75,84.28,84.91,-
09-Dec-04,85.04,86.66,84.15,86.63,-
10-Dec-04,86.63,87.35,85.56,85.74,-
13-Dec-04,85.93,86.5,84.64,85.14,-
